train_step 422	train_loss 0.8846	CE_Loss 0.8846
train_step 423	train_loss 0.6038	CE_Loss 0.6038
train_step 424	train_loss 0.6802	CE_Loss 0.6802
train_step 425	train_loss 0.9308	CE_Loss 0.9308
train_step 426	train_loss 0.7676	CE_Loss 0.7676
train_step 427	train_loss 0.9257	CE_Loss 0.9257
train_step 428	train_loss 0.7445	CE_Loss 0.7445
train_step 429	train_loss 0.9664	CE_Loss 0.9664
train_step 430	train_loss 0.8821	CE_Loss 0.8821
train_step 431	train_loss 2.2588	CE_Loss 2.2588
train_step 432	train_loss 2.4993	CE_Loss 2.4993
train_step 433	train_loss 0.8653	CE_Loss 0.8653
train_step 434	train_loss 0.8709	CE_Loss 0.8709
train_step 435	train_loss 0.8671	CE_Loss 0.8671
train_step 436	train_loss 0.8551	CE_Loss 0.8551
train_step 437	train_loss 0.7597	CE_Loss 0.7597
train_step 438	train_loss 0.8148	CE_Loss 0.8148
train_step 439	train_loss 1.0922	CE_Loss 1.0922
train_step 440	train_loss 0.9782	CE_Loss 0.9782
train_step 441	train_loss 0.8969	CE_Loss 0.8969
train_step 442	train_loss 0.8475	CE_Loss 0.8475
train_step 443	train_loss 0.6680	CE_Loss 0.6680
train_step 444	train_loss 0.9136	CE_Loss 0.9136
train_step 445	train_loss 0.7552	CE_Loss 0.7552
train_step 446	train_loss 0.7201	CE_Loss 0.7201
train_step 447	train_loss 0.7724	CE_Loss 0.7724
train_step 448	train_loss 0.6196	CE_Loss 0.6196
train_step 449	train_loss 0.7673	CE_Loss 0.7673
train_step 450	train_loss 0.7213	CE_Loss 0.7213
train_step 451	train_loss 0.9069	CE_Loss 0.9069
train_step 452	train_loss 0.7965	CE_Loss 0.7965
train_step 453	train_loss 0.8257	CE_Loss 0.8257
train_step 454	train_loss 0.7903	CE_Loss 0.7903
train_step 455	train_loss 0.9883	CE_Loss 0.9883
train_step 456	train_loss 0.6731	CE_Loss 0.6731
train_step 457	train_loss 0.6131	CE_Loss 0.6131
train_step 458	train_loss 2.2901	CE_Loss 2.2901
train_step 459	train_loss 0.6554	CE_Loss 0.6554
train_step 460	train_loss 0.9306	CE_Loss 0.9306
train_step 461	train_loss 0.8045	CE_Loss 0.8045
train_step 462	train_loss 0.6533	CE_Loss 0.6533
train_step 463	train_loss 0.9779	CE_Loss 0.9779
train_step 464	train_loss 0.9414	CE_Loss 0.9414
train_step 465	train_loss 0.9846	CE_Loss 0.9846
train_step 466	train_loss 0.7407	CE_Loss 0.7407
train_step 467	train_loss 0.7242	CE_Loss 0.7242
train_step 468	train_loss 0.5616	CE_Loss 0.5616
train_step 469	train_loss 2.2125	CE_Loss 2.2125
train_step 470	train_loss 0.7154	CE_Loss 0.7154
train_step 471	train_loss 0.9420	CE_Loss 0.9420
train_step 472	train_loss 0.7743	CE_Loss 0.7743
train_step 473	train_loss 0.9641	CE_Loss 0.9641
train_step 474	train_loss 0.6354	CE_Loss 0.6354
train_step 475	train_loss 0.8833	CE_Loss 0.8833
train_step 476	train_loss 0.8933	CE_Loss 0.8933
train_step 477	train_loss 0.7085	CE_Loss 0.7085
train_step 478	train_loss 0.6459	CE_Loss 0.6459
train_step 479	train_loss 0.8647	CE_Loss 0.8647
train_step 480	train_loss 0.9927	CE_Loss 0.9927
train_step 481	train_loss 0.5152	CE_Loss 0.5152
train_step 482	train_loss 1.0669	CE_Loss 1.0669
train_step 483	train_loss 2.3885	CE_Loss 2.3885
train_step 484	train_loss 0.8639	CE_Loss 0.8639
train_step 485	train_loss 0.6446	CE_Loss 0.6446
